id,call_sign,code,name,country_name
546,FRONTIER FLIGHT,F9,Frontier Airlines,United States
547,FRONTIER-AIR,2F,Frontier Flying Service,United States
548,FUTURA,FH,Futura International Airways,Spain
549,SKYDUBAI,FZ,Flydubai,United Arab Emirates
550,GEORGIA WING,9Y,Fly Georgia,Georgia
551,BALDER,VK,FlyViking,Norway
552,SPRAY,GX,Guangxi Beibu Gulf Airlines,China
553,GOLDEN Burma,Y5,Golden Burma Airlines,Burma
554,GEEBEE AIRWAYS,GT,GB Airways,United Kingdom
555,GMG,Z5,GMG Airlines,Bangladesh
556,GALAXY,7O,Galaxy Air,Kyrgyzstan
557,GAMBIA INTERNATIONAL,GC,Gambia International Airlines,Gambia
558,Gandalf,G7,Gandalf Airlines,Italy
559,INDONESIA,GA,Garuda Indonesia,Indonesia
560,GAZPROMAVIA,4G,Gazpromavia,Russia
561,GEMINI,GR,Gemini Air Cargo,United States
562,TAMAZI,A9,Georgian Airways,Georgia
563,NATIONAL,QB,Georgian National Airlines,Georgia
564,GERMANIA,ST,Germania,Germany
565,GERMAN WINGS,4U,Germanwings,Germany
566,RIVERA,GP,APG Airlines,France
567,GLOBUS,GH,Globus Airlines,Russia
568,GHANA,GH,Ghana Airways,Ghana
569,GHANA AIRLINES,G0,Ghana International Airlines,Ghana
570,GOAIR,G8,GoAir,India
571,LINDBERGH,G7,GoJet Airlines,United States
572,GOL TRANSPORTE,G3,Gol Transportes Areos,Brazil
573,GOLDEN,DC,Golden Air,Sweden
574,GONINI,5Z,Gonini Air Services,Suriname
575,GORKHA AIRLINES,G1,Gorkha Airlines,Nepal
576,HOOT,GV,Grant Aviation,United States
577,LAKES AIR,ZK,Great Lakes Airlines,United States
578,GREAT WALL,IJ,Great Wall Airlines,China
579,BISSAU AIRLINES,G6,Guine Bissaur Airlines,Guinea-Bissau
580,GUINEE AIRLINES,J9,Guinee Airlines,Guinea
581,GUJARATAIR,G8,Gujarat Airways,India
582,GULF AIR,GF,Gulf Air,Bahrain
583,TRANS MONGOLIA,MR,Hunnu Air,Mongolia
584,AIR HOP,A5,Hop!,France
585,HAGELAND,H6,Hageland Aviation Services,United States
586,ROOSTER,HR,Hahn Air,Germany
587,HAINAN,HU,Hainan Airlines,China
588,HAMBURG JET,4R,Hamburg International,Germany
589,YELLOW CAB,X3,Hapag-Lloyd Expressy(TUIfly),Germany
590,HAPAG LLOYD,HF,Hapagfly,Germany
591,HARBOR,HB,Harbor Airlines,United States
592,HARMONY,HQ,Harmony Airways,Canada
593,HAWAIIAN,HA,Hawaiian Airlines,United States
594,HEAVY CARGO,HN,Heavylift Cargo Airlines,Australia
595,HELIJET,JB,Helijet,Canada
596,HELIOS,ZU,Helios Airways,Cyprus
597,SCANBIRD,9I,Helitrans,Norway
598,HELLAS JET,HJ,Hellas Jet,Greece
599,FLYHELLO,HW,Hello,Switzerland
600,HELVETIC,2L,Helvetic Airways,Switzerland
601,ALLCONGO,EO,Hewa Bora Airways,Congo (Brazzaville)
602,HEX AIRLINE,UD,Hex'Air,France
603,SKY FLYER,5K,Hi Fly,Portugal
604,HIMALAYA,H9,Himalaya Airlines,Nepal
605,HOLA,H5,Hola Airlines,Spain
606,CZECH HOLIDAYS,HC,Holidays Czech Airlines,Czechia
607,BAUHINIA,HX,Hong Kong Airlines,Hong Kong
608,MASCOT,RH,Hong Kong Air Cargo,Hong Kong
609,HONGKONG SHUTTLE,UO,Hong Kong Express Airways,Hong Kong
610,HONGLAND,A6,Hongtu Airlines,China
611,HOPE AIR,HH,Hope Air,Canada
612,HORIZON AIR,QX,Horizon Air,United States
613,HORIZON,BN,Horizon Airlines,Australia
614,IKAR,IK,Ikar,Russia
615,CHASQUI,II,IBC Airways,United States
616,CATOVAIR,0C,IBL Aviation,Mauritius
617,ICAR,C3,Independent Carrier (ICAR),Ukraine
